Category1;Category2;Category3;Category4;Category5;Category6;Category7;Category8;Category9;Category10
93;18;229;62;8;242;319;279;182;242
102;22;266;64;142;318;321;263;186;232
122;8;54;53;24;154;318;28;131;25
45;18;29;57;46;152;318;296;157;286
51;12;118;57;154;202;318;278;118;254
99;128;72;27;74;126;317;289;166;366
9;136;26;32;86;158;317;266;122;322
74;14;22;41;82;15;317;281;154;288
112;176;104;64;82;214;318;279;141;254
7;136;22;26;15;154;317;282;224;312
147;1;7;75;166;276;318;289;166;262
96;296;29;38;88;208;317;293;166;342
74;144;275;45;98;174;32;287;138;234
58;164;227;45;126;172;319;291;23;274
96;168;229;51;12;284;32;282;202;246
125;252;176;5;146;208;319;274;141;232
86;104;176;34;6;11;318;273;115;298
61;196;249;66;134;178;32;304;115;242
67;136;136;38;82;338;318;286;179;28
8;104;21;58;118;198;319;293;122;248
86;144;112;41;12;218;318;27;106;294
96;144;14;42;106;208;317;274;115;322
93;116;29;41;102;136;316;274;134;366
54;144;3;41;102;146;317;271;173;304
122;96;115;54;11;202;318;277;192;246
61;284;28;48;56;152;319;254;16;254
77;168;224;75;128;264;319;257;134;238
99;128;122;59;94;19;318;279;122;24
58;12;18;38;54;76;317;269;163;294
64;116;312;45;184;316;32;275;154;246
74;128;214;5;94;226;32;278;15;234
7;224;232;63;72;212;319;265;128;242
64;2;16;41;208;222;319;28;176;272
106;112;21;58;98;25;318;29;192;274
96;116;45;29;98;142;318;294;202;302
88;96;118;43;74;152;318;301;163;294
7;128;115;32;4;11;318;278;176;29
102;136;91;5;72;122;318;291;192;32
7;152;237;62;86;168;32;286;16;258
138;108;18;62;14;146;318;288;166;242
99;124;15;24;138;198;317;261;102;306
58;148;19;41;5;98;316;274;157;338
67;124;61;24;106;19;318;282;125;288
102;2;42;56;46;206;318;286;205;266
64;164;34;62;64;222;318;31;198;28
17;14;61;39;7;146;317;29;182;338
38;108;77;34;106;146;318;315;218;322
9;12;124;35;88;186;318;286;147;294
45;296;26;4;56;168;318;29;144;272
61;108;222;65;12;206;319;262;131;234
102;12;3;38;11;19;317;293;134;342
42;148;206;48;96;14;318;271;176;286
8;188;66;47;254;218;318;259;189;302
102;64;112;51;8;182;318;282;15;256
102;12;37;58;54;17;317;278;166;342
61;168;46;37;86;11;317;294;131;312
8;116;243;54;106;228;319;286;144;248
93;148;78;39;7;17;318;282;141;288
64;12;227;64;142;283;32;279;147;238
83;14;123;64;12;254;318;281;16;254
106;192;311;55;146;324;32;262;128;234
198;96;18;45;16;82;318;303;102;278
9;112;22;45;32;11;318;282;208;296
51;16;37;42;48;136;318;31;134;304
141;112;68;37;114;176;318;29;15;301
147;72;53;62;48;19;318;278;163;288
99;128;232;43;16;106;318;279;109;334
93;1;61;5;8;152;318;277;128;294
51;108;192;34;104;13;318;28;109;288
54;144;72;48;7;136;318;274;15;254
16;8;38;67;5;15;318;282;128;246
83;104;294;96;88;186;32;282;125;234
74;224;14;47;122;188;317;281;198;258
9;108;248;41;82;178;318;283;141;346
131;136;147;56;78;2;319;286;163;242
99;296;171;45;136;196;319;269;138;232
128;112;104;42;7;13;318;281;186;336
8;176;253;65;104;222;319;279;163;246
83;108;67;35;54;106;317;278;125;306
7;104;19;47;78;242;317;27;112;298
208;92;8;4;54;17;317;307;154;342
74;132;93;46;66;182;318;283;186;254
7;152;45;165;32;86;317;262;205;304
125;92;86;58;66;198;318;288;112;266
192;28;112;5;88;196;318;296;186;258
74;184;24;34;8;166;317;287;15;334
7;76;72;11;42;154;318;269;141;256
64;108;19;39;5;9;317;279;118;312
64;236;14;168;102;176;318;271;122;242
67;208;104;54;74;164;318;286;157;264
138;112;72;53;88;136;318;281;179;326
56;116;13;49;54;9;317;291;154;264
11;204;245;54;144;228;319;274;163;242
64;12;227;64;142;283;32;279;147;238
99;2;213;64;182;26;319;267;15;246
112;96;3;46;56;192;318;298;122;294
9;144;234;55;94;214;319;279;179;282
9;56;138;37;8;19;318;291;141;254
102;88;267;53;102;178;319;286;214;278
67;16;21;47;216;196;317;286;304;31
9;96;38;5;78;21;318;29;179;282
64;112;4;37;64;112;318;294;176;306
99;212;141;65;96;294;319;282;141;242
88;12;16;45;5;1;318;267;179;286
147;84;64;39;32;118;317;29;173;346
86;88;285;39;42;154;32;273;17;246
107;56;93;53;13;262;318;294;227;274
99;12;38;43;8;11;316;274;115;342
176;4;43;39;15;162;317;28;96;318
8;216;112;53;154;234;318;283;224;278
9;18;125;67;86;186;319;296;246;298
9;108;165;34;7;144;318;285;115;286
9;184;51;66;104;178;318;279;186;254
35;136;141;49;11;15;318;304;128;248
83;104;294;96;88;186;32;282;125;234
115;128;18;61;7;23;318;301;173;234
64;172;125;51;72;204;319;283;176;24
61;132;78;54;112;174;318;278;179;294
54;12;117;45;104;138;318;258;182;294
106;16;11;43;86;184;318;27;96;318
86;196;125;56;166;29;318;282;144;25
77;104;26;66;142;2;318;282;16;264
93;268;13;42;142;222;319;258;131;238
198;48;75;69;88;262;318;286;154;238
74;152;138;59;11;2;318;272;147;274
64;136;19;46;78;158;318;279;131;282
51;144;42;33;74;13;318;277;118;298
106;168;102;66;72;202;318;281;141;256
109;148;99;35;112;178;317;289;131;334
54;12;45;39;88;166;318;27;157;278
9;88;152;46;8;148;318;271;99;288
83;168;114;51;166;278;318;285;17;254
93;164;173;55;146;198;318;274;189;294
38;128;154;62;17;216;318;302;131;25
51;164;27;3;78;186;317;269;25;334
8;96;73;61;11;282;318;299;214;254
115;172;162;61;78;194;319;302;147;254
51;116;166;53;158;19;318;285;128;288
96;14;74;37;86;198;318;28;144;306
109;132;74;39;5;106;318;301;186;32
74;128;26;3;114;196;317;293;173;334
8;112;19;46;82;148;318;282;17;296
86;196;61;42;122;186;317;27;122;31
